date;amount;cumulative
2020-07-10;0,0;-10048,539999999968
2020-07-11;0,0;-10048,539999999968
2020-07-12;587,08;-9461,459999999968
2020-07-13;0,0;-9461,459999999968
2020-07-14;0,0;-9461,459999999968
2020-07-15;0,0;-9461,459999999968
2020-07-16;0,0;-9461,459999999968
2020-07-17;0,0;-9461,459999999968
2020-07-18;0,0;-9461,459999999968
2020-07-19;0,0;-9461,459999999968
2020-07-20;0,0;-9461,459999999968
2020-07-21;145,04;-9316,419999999967
2020-07-22;0,0;-9316,419999999967
2020-07-23;0,0;-9316,419999999967
2020-07-24;109,94;-9206,479999999967
2020-07-25;0,0;-9206,479999999967
2020-07-26;311,86;-8894,619999999966
2020-07-27;0,0;-8894,619999999966
2020-07-28;109,36;-8785,259999999966
2020-07-29;0,0;-8785,259999999966
2020-07-30;0,0;-8785,259999999966
2020-07-31;0,0;-8785,259999999966
2020-08-01;0,0;-8785,259999999966
2020-08-02;0,0;-8785,259999999966
2020-08-03;213,88;-8571,379999999966
2020-08-04;0,0;-8571,379999999966
2020-08-05;0,0;-8571,379999999966
2020-08-06;0,0;-8571,379999999966
2020-08-07;308,28;-8263,099999999966
2020-08-08;0,0;-8263,099999999966
2020-08-09;0,0;-8263,099999999966
2020-08-10;0,0;-8263,099999999966
2020-08-11;0,0;-8263,099999999966
2020-08-12;587,08;-7676,019999999966
2020-08-13;0,0;-7676,019999999966
2020-08-14;0,0;-7676,019999999966
2020-08-15;0,0;-7676,019999999966
2020-08-16;0,0;-7676,019999999966
2020-08-17;0,0;-7676,019999999966
2020-08-18;0,0;-7676,019999999966
2020-08-19;0,0;-7676,019999999966
2020-08-20;0,0;-7676,019999999966
2020-08-21;145,04;-7530,979999999966
2020-08-22;0,0;-7530,979999999966
2020-08-23;0,0;-7530,979999999966
2020-08-24;109,94;-7421,039999999966
2020-08-25;0,0;-7421,039999999966
2020-08-26;311,86;-7109,179999999967
2020-08-27;0,0;-7109,179999999967
2020-08-28;109,36;-6999,819999999967
2020-08-29;0,0;-6999,819999999967
2020-08-30;0,0;-6999,819999999967
2020-08-31;0,0;-6999,819999999967
2020-09-01;0,0;-6999,819999999967
2020-09-02;0,0;-6999,819999999967
2020-09-03;213,88;-6785,939999999967
2020-09-04;0,0;-6785,939999999967
2020-09-05;0,0;-6785,939999999967
2020-09-06;0,0;-6785,939999999967
2020-09-07;0,0;-6785,939999999967
2020-09-08;0,0;-6785,939999999967
2020-09-09;0,0;-6785,939999999967
2020-09-10;0,0;-6785,939999999967
2020-09-11;0,0;-6785,939999999967
2020-09-12;587,08;-6198,859999999967
2020-09-13;0,0;-6198,859999999967
2020-09-14;0,0;-6198,859999999967
2020-09-15;0,0;-6198,859999999967
2020-09-16;0,0;-6198,859999999967
2020-09-17;0,0;-6198,859999999967
2020-09-18;0,0;-6198,859999999967
2020-09-19;0,0;-6198,859999999967
2020-09-20;0,0;-6198,859999999967
2020-09-21;145,04;-6053,819999999967
2020-09-22;0,0;-6053,819999999967
2020-09-23;0,0;-6053,819999999967
2020-09-24;109,94;-5943,879999999967
